date,selected_k,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,planned_q_sha256,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,pass
2025-04-29,2,46241.81561492363,4842.132822994346,51083.94843791798,59853.367614880946,5c863f1987a91d2f2c336b438a6419585f81ba95fda15fcc33252166da7d5dd5,57075.17463154762,2778.1929833333315,1165.3248851190476,10807.285800000001,1.1368683772161603e-13,0.0,True
2025-04-30,2,46189.55506572089,1514.3363157083322,47703.89138142922,59949.63761607143,bb907c58e853cd1cb6efda5fd415b1b91d395cf812ced4b6af5d22de4524daf5,56631.92782678571,3317.7097892857155,400.9205398809524,8775.993933333331,1.1368683772161603e-13,0.0,True
2025-05-01,2,45986.18297980691,17642.208673118745,63628.39165292565,59456.46380238095,ae52977cef8f854589658dfb072ec47685ea9d8fe1ea73c97e8a81bcf9bf17b8,58455.99051488095,1000.4732875000002,3812.9234184523807,11257.535133333333,0.0,0.0,True
2025-05-02,2,24136.85063281202,16827.30916818482,40964.159800996844,33831.04714345238,34cc7d9e859dafad8c20942b961d894a5c862760c8d7338111717327537a6ef8,33197.48904523809,633.5580982142855,3614.747054761904,22521.916016666666,5.684341886080802e-14,0.0,True
2025-05-03,2,23577.291234951488,15395.60988301905,38972.90111797054,32978.75734047619,88f4d1766ad93d318e680cffc38ec85c07fd6a4439d14b5a9680ea92cf4dfbac,32623.261688095237,355.4956523809517,3331.144561904762,27087.234599999996,5.684341886080802e-14,0.0,True
2025-05-04,2,45063.54936681059,16041.513285469351,61105.06265227994,58316.00910297618,7b4518b24fa71b7e1f94d152810faaaa21bea79fccac7b8608118ca18b27947f,56323.412699404755,1992.5964035714273,3700.085967261906,8288.831333333332,0.0,0.0,True
2025-05-05,2,46326.36985514762,17907.546433059517,64233.91628820714,60016.62260833333,679beaca277f19116db24938d70b6e6624d1e1eb16c3f7a025e97a5de7b9d5bc,58666.27584107142,1350.3467672619054,3939.664542261903,7529.933583333334,0.0,0.0,True
2025-05-06,2,44409.83182492661,23980.715422391666,68390.54724731827,57641.76383214285,e1c58f77420ad01f35806cbb081a1d5965a9ae0d6936faea64849dae8cf0004f,57225.48870059523,416.27513154761914,5393.864699404762,9749.271033333334,1.1368683772161603e-13,0.0,True
2025-05-07,2,44594.81253249172,26495.00750338601,71089.82003587772,57987.1689625,f05e4b94917bbc77c400d0e58fc47e502d76656b3ddfac3620862586a7dcce01,57450.22501904762,536.9439434523811,5806.234547619048,8188.613616666666,1.1368683772161603e-13,0.0,True
2025-05-08,2,47717.07217547054,11099.601687675295,58816.67386314583,61127.71422440476,cfb6f01b8b7c1cee3aa874c3e00622eaae9f5e7aec0450a72236ad09c725ee13,58864.37403630952,2263.3401880952392,2572.153797023809,5610.015433333332,0.0,0.0,True
