date,strategy,year_end_boundary,year_end_soc_kwh,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,g0_kwh,g_final_kwh,planned_energy_cost_yuan,max_balance_residual_kwh
2025-04-24,M1_M6,A_q2_aligned,1200.0,32642.654604469084,29928.23489929262,2714.4197051764636,678.4544973272309,3623.6409967204495,11656.52911416716,15987.84251798394,8414.406377441192,2620.095118320868,43984.24389633244,47081.45946664006,27150.303846701187,1.1368683772161603e-13
2025-04-25,M1_M6,A_q2_aligned,1200.0,13927.079987491205,11286.678246477262,2640.4017410139422,776.9207045401719,20983.902570954295,12242.140232187121,11319.82062400992,2620.095118320868,2301.8704635157424,23879.75488448601,23518.44486939904,11406.92468089283,1.1368683772161603e-13
2025-04-26,M1_M6,A_q2_aligned,1200.0,16247.364656123424,14297.46491528228,1949.8997408411433,650.0037196294909,23357.7130309797,17961.176774925243,10921.109876034236,2301.8704635157424,7829.478288144336,30008.280865810313,30278.23315423377,13941.330980447452,1.1368683772161603e-13
2025-04-27,M1_M6,A_q2_aligned,1200.0,36837.51608252008,31807.76072746057,5029.755355059511,1299.5528159249066,1769.173986882716,18262.45629971326,16694.20075412171,7829.478288144336,7557.532861351295,48841.39522706205,51554.17520731764,29033.288194624256,1.1368683772161603e-13
2025-04-28,M1_M6,A_q2_aligned,1200.0,38136.67862636517,35565.74743751001,2570.931188855161,670.4304573103615,332.76916172839435,19097.931022813806,17173.68857917037,7557.532861351295,7572.763804482417,58888.859645540964,59624.18077747681,34096.74938836989,1.1945999744966684e-13
2025-04-29,M1_M6,A_q2_aligned,1200.0,33657.59506563349,30912.994762007205,2744.6003036262846,672.7595403732623,1420.850965486903,16897.12669639211,15424.507129282143,7572.763804482417,7343.927581714123,48784.456930961336,50157.09094157086,29220.225975427107,1.1368683772161603e-13
2025-04-30,M1_M6,A_q2_aligned,1200.0,34728.45167310372,29714.288503295746,5014.163169807976,1600.637585639346,164.04937159421104,17850.3621416651,16430.53186070687,7343.927581714123,6958.966727065631,47770.012208650005,48642.56841579173,28813.311426010165,1.5631940186722204e-13
2025-05-01,M1_M6,A_q2_aligned,1200.0,46049.011971106214,30841.77330129684,15207.238669809372,2955.0706525067953,3311.5602559797053,12447.180619459925,16552.568706833812,6958.966727065631,1319.4596752243845,44757.5925043743,48104.58664134583,27833.0740815452,1.1368683772161603e-13
2025-05-02,M1_M6,A_q2_aligned,1200.0,25411.30706453298,12647.999404025186,12763.307660507791,2769.7224405422126,12812.625335088234,13112.78844822037,11629.339073136221,1319.4596752243845,1500.9433490867914,26140.832755756604,26013.845753440015,12633.625947593584,1.1368683772161603e-13
2025-05-03,M1_M6,A_q2_aligned,1200.0,27750.03054306178,14706.394018287372,13043.636524774409,2694.0109006933208,17320.693953664886,18888.73475221151,10920.300726880145,1500.9433490867914,7909.362852838287,31604.632718858655,31729.108821263664,14532.470211879365,1.1368683772161603e-13
